index,neighbourhood,noise,safety,entertainment,restaurant,host,expense,shopping,nightlife,transit
0,Bayswater,,,,,,,,,
1,Allerton,0.0,0.202,0.0,0.0,0.107,0.0,0.203,0.0,0.489
2,City Island,0.119,0.154,0.0,0.15,0.092,0.0,0.0,0.119,0.366
3,Ditmars Steinway,,,,,,,,,
4,Ozone Park,0.116,0.148,0.0,0.145,0.077,0.0,0.153,0.0,0.361
5,Fordham,0.0,0.164,0.0,0.0,0.098,0.0,0.338,0.0,0.4
6,Whitestone,0.0,0.204,0.0,0.0,0.104,0.0,0.208,0.0,0.484
7,Arden Heights,,,,,,,,,
8,Arrochar,,,,,,,,,
9,Arverne,,,,,,,,,
10,Bay Ridge,0.092,0.117,0.0,0.113,0.067,0.0,0.241,0.092,0.277
11,Belmont,0.0,0.251,0.0,0.0,0.138,0.0,0.0,0.0,0.61
12,Gerritsen Beach,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Port Ivory,,,,,,,,,
14,Soundview,0.136,0.217,0.0,0.0,0.129,0.0,0.0,0.0,0.518
15,Astoria,0.094,0.163,0.034,0.111,0.047,0.0,0.292,0.065,0.194
16,Bath Beach,0.0,0.276,0.0,0.0,0.135,0.0,0.281,0.0,0.309
17,Bayside,0.0,0.204,0.0,0.0,0.124,0.0,0.428,0.0,0.243
18,Battery Park City,0.145,0.177,0.0,0.175,0.104,0.0,0.183,0.0,0.214
19,Bay Terrace,,,,,,,,,
20,"Bay Terrace, Staten Island",,,,,,,,,
21,Baychester,0.0,0.201,0.0,0.0,0.115,0.0,0.206,0.0,0.478
22,Bayswater,,,,,,,,,
23,Bedford-Stuyvesant,0.095,0.242,0.034,0.112,0.047,0.0,0.21,0.065,0.195
24,Belle Harbor,,,,,,,,,
25,Bellerose,,,,,,,,,
26,Bensonhurst,0.136,0.172,0.0,0.0,0.1,0.0,0.176,0.0,0.416
27,Bergen Beach,0.0,0.359,0.0,0.0,0.189,0.0,0.0,0.0,0.452
28,Bloomfield,,,,,,,,,
29,Boerum Hill,0.126,0.112,0.0,0.109,0.064,0.0,0.231,0.087,0.271
30,Borough Park,0.0,0.201,0.0,0.196,0.12,0.0,0.0,0.0,0.483
31,Brighton Beach,0.0,0.318,0.126,0.0,0.187,0.0,0.0,0.0,0.369
32,Prospect-Lefferts Gardens,,,,,,,,,
33,Mott Haven,0.186,0.163,0.0,0.0,0.096,0.0,0.168,0.0,0.387
34,Bronxdale,0.0,0.168,0.0,0.163,0.09,0.0,0.174,0.0,0.406
35,Breezy Point,,,,,,,,,
36,Briarwood,,,,,,,,,
37,Brooklyn Heights,0.091,0.116,0.0,0.114,0.062,0.0,0.243,0.091,0.283
38,Brownsville,0.0,0.2,0.0,0.0,0.106,0.0,0.206,0.0,0.487
39,Bull's Head,0.0,0.672,0.0,0.0,0.328,0.0,0.0,0.0,0.0
40,Bushwick,0.083,0.211,0.029,0.097,0.041,0.0,0.312,0.058,0.171
41,Cambria Heights,,,,,,,,,
42,"Chelsea, Staten Island",,,,,,,,,
43,Chinatown,0.088,0.111,0.045,0.109,0.065,0.0,0.229,0.088,0.265
44,City Island,0.119,0.154,0.0,0.15,0.092,0.0,0.0,0.119,0.366
45,Cypress Hills,,,,,,,,,
46,Canarsie,0.117,0.146,0.0,0.0,0.084,0.0,0.302,0.0,0.35
47,Carroll Gardens,0.082,0.208,0.0,0.102,0.058,0.0,0.215,0.082,0.253
48,Castle Hill,,,,,,,,,
49,Castleton Corners,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50,Grant City,0.0,0.614,0.0,0.0,0.386,0.0,0.0,0.0,0.0
51,Charleston,,,,,,,,,
52,Chelsea,0.079,0.2,0.04,0.098,0.056,0.0,0.208,0.078,0.241
53,Civic Center,0.227,0.0,0.0,0.0,0.164,0.0,0.279,0.0,0.33
54,Claremont Village,,,,,,,,,
55,Clason Point,,,,,,,,,
56,Clifton,0.0,0.378,0.0,0.0,0.187,0.0,0.0,0.0,0.436
57,Clinton Hill,0.076,0.187,0.038,0.094,0.054,0.0,0.246,0.075,0.23
58,Co-op City,,,,,,,,,
59,Cobble Hill,0.0,0.143,0.0,0.14,0.081,0.0,0.293,0.0,0.343
60,College Point,0.0,0.0,0.0,0.0,0.164,0.0,0.452,0.0,0.384
61,Crown Heights,0.079,0.199,0.041,0.097,0.057,0.0,0.207,0.079,0.241
62,Columbia St,,,,,,,,,
63,Concord,0.0,0.387,0.0,0.0,0.179,0.0,0.0,0.0,0.434
64,Concourse,0.0,0.165,0.0,0.0,0.091,0.0,0.346,0.0,0.398
65,Concourse Village,0.113,0.148,0.0,0.0,0.082,0.0,0.304,0.0,0.353
66,Coney Island,0.0,0.0,0.134,0.311,0.181,0.0,0.0,0.0,0.373
67,Corona,0.088,0.225,0.007,0.11,0.062,0.0,0.233,0.0,0.274
68,Mount Eden,0.0,0.359,0.0,0.0,0.208,0.0,0.0,0.0,0.433
69,Jamaica Hills,,,,,,,,,
70,Country Club,0.0,0.204,0.0,0.0,0.11,0.0,0.211,0.0,0.474
71,Mount Hope,,,,,,,,,
72,DUMBO,0.092,0.117,0.0,0.114,0.065,0.0,0.24,0.092,0.28
73,Dongan Hills,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
74,Douglaston,,,,,,,,,
75,Downtown Brooklyn,0.0,0.186,0.072,0.0,0.105,0.0,0.192,0.0,0.446
76,Dyker Heights,0.172,0.218,0.0,0.0,0.123,0.0,0.225,0.0,0.262
77,Glen Oaks,,,,,,,,,
78,East Elmhurst,0.137,0.177,0.068,0.0,0.097,0.0,0.084,0.0,0.436
79,East Flatbush,0.117,0.147,0.0,0.144,0.083,0.0,0.153,0.0,0.356
80,East Harlem,0.075,0.19,0.039,0.093,0.054,0.0,0.244,0.075,0.23
81,East Morrisania,,,,,,,,,
82,Eltingville,0.0,0.272,0.0,0.0,0.128,0.0,0.282,0.0,0.319
83,Emerson Hill,,,,,,,,,
84,Elmhurst,0.096,0.121,0.049,0.119,0.068,0.0,0.252,0.0,0.295
85,Fieldston,,,,,,,,,
86,East New York,0.086,0.217,0.043,0.106,0.06,0.0,0.225,0.0,0.264
87,East Village,0.075,0.191,0.039,0.093,0.055,0.0,0.244,0.075,0.229
88,Eastchester,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
89,Edenwald,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
90,Edgemere,,,,,,,,,
91,Glendale,0.0,0.362,0.0,0.0,0.2,0.0,0.0,0.0,0.438
92,Far Rockaway,,,,,,,,,
93,Jamaica Estates,,,,,,,,,
94,Financial District,0.082,0.209,0.0,0.103,0.058,0.0,0.215,0.082,0.251
95,Flatbush,0.074,0.238,0.0,0.093,0.052,0.0,0.24,0.074,0.229
96,Flatiron District,0.092,0.116,0.0,0.113,0.065,0.0,0.239,0.092,0.283
97,Flatlands,0.135,0.176,0.0,0.0,0.094,0.0,0.18,0.0,0.415
98,Laurelton,,,,,,,,,
99,Shore Acres,,,,,,,,,
100,Flushing,0.118,0.21,0.0,0.141,0.058,0.0,0.218,0.0,0.255
101,Gowanus,0.091,0.116,0.0,0.113,0.065,0.0,0.24,0.09,0.285
102,Forest Hills,0.1,0.127,0.0,0.124,0.071,0.0,0.263,0.0,0.315
103,Fort Greene,0.08,0.199,0.04,0.098,0.058,0.0,0.206,0.079,0.24
104,Fort Hamilton,,,,,,,,,
105,Fort Wadsworth,0.0,0.0,0.0,0.0,0.348,0.0,0.0,0.0,0.652
106,Fresh Meadows,0.0,0.266,0.0,0.0,0.131,0.0,0.273,0.0,0.33
107,Gramercy,,,,,,,,,
108,Graniteville,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Gravesend,0.117,0.147,0.0,0.0,0.088,0.0,0.3,0.0,0.348
110,Kensington,0.119,0.296,0.0,0.145,0.085,0.0,0.0,0.0,0.355
111,Kew Gardens,,,,,,,,,
112,Parkchester,0.0,0.2,0.0,0.0,0.108,0.0,0.205,0.0,0.486
113,Pelham Bay,0.0,0.21,0.0,0.204,0.117,0.0,0.215,0.0,0.254
114,Great Kills,0.0,0.634,0.0,0.0,0.366,0.0,0.0,0.0,0.0
115,Huguenot,,,,,,,,,
116,Greenpoint,0.071,0.271,0.037,0.09,0.051,0.0,0.19,0.071,0.22
117,Greenwich Village,0.088,0.111,0.044,0.109,0.063,0.0,0.229,0.088,0.27
118,Grymes Hill,0.0,0.368,0.0,0.0,0.206,0.0,0.0,0.0,0.427
119,Harlem,0.066,0.294,0.034,0.114,0.047,0.0,0.175,0.066,0.203
120,Queens Village,,,,,,,,,
121,Hell's Kitchen,0.111,0.193,0.039,0.094,0.055,0.0,0.2,0.076,0.231
122,Highbridge,0.0,0.253,0.0,0.0,0.145,0.0,0.0,0.0,0.602
123,Hollis,,,,,,,,,
124,Hollis Hills,,,,,,,,,
125,Holliswood,,,,,,,,,
126,Howard Beach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
127,Howard Beach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
128,Howland Hook,,,,,,,,,
129,Pelham Gardens,,,,,,,,,
130,Hunts Point,0.0,0.616,0.0,0.0,0.384,0.0,0.0,0.0,0.0
131,Inwood,0.109,0.138,0.0,0.135,0.079,0.0,0.21,0.0,0.33
132,Jackson Heights,0.101,0.258,0.0,0.126,0.072,0.0,0.133,0.0,0.309
133,Jamaica,0.107,0.191,0.043,0.128,0.053,0.0,0.243,0.0,0.236
134,Morris Park,0.0,0.206,0.0,0.0,0.104,0.0,0.211,0.0,0.479
135,Kew Gardens Hills,,,,,,,,,
136,Kingsbridge,0.0,0.0,0.0,0.0,0.386,0.0,0.614,0.0,0.0
137,Kips Bay,0.088,0.111,0.043,0.109,0.062,0.0,0.23,0.087,0.271
138,Lighthouse Hill,,,,,,,,,
139,Little Italy,0.0,0.132,0.055,0.13,0.079,0.0,0.275,0.0,0.329
140,Little Neck,,,,,,,,,
141,Morrisania,0.0,0.254,0.0,0.0,0.153,0.0,0.0,0.0,0.594
142,Murray Hill,0.098,0.125,0.049,0.0,0.07,0.0,0.258,0.097,0.304
143,Long Island City,0.082,0.208,0.0,0.101,0.056,0.0,0.216,0.082,0.254
144,Longwood,0.562,0.0,0.0,0.0,0.438,0.0,0.0,0.0,0.0
145,Lower East Side,0.077,0.192,0.038,0.094,0.055,0.041,0.198,0.076,0.229
146,Manhattan Beach,0.0,0.248,0.0,0.0,0.135,0.0,0.0,0.0,0.617
147,Marble Hill,0.0,0.258,0.0,0.0,0.142,0.0,0.0,0.0,0.6
148,Midtown,0.076,0.193,0.038,0.131,0.053,0.0,0.2,0.076,0.234
149,Midwood,0.103,0.266,0.0,0.0,0.074,0.0,0.136,0.103,0.318
150,Norwood,0.0,0.638,0.0,0.0,0.362,0.0,0.0,0.0,0.0
151,Oakwood,,,,,,,,,
152,Morris Heights,0.0,0.24,0.0,0.0,0.154,0.0,0.0,0.0,0.606
153,Pleasant Plains,,,,,,,,,
154,Mariners Harbor,0.0,0.583,0.156,0.0,0.26,0.0,0.0,0.0,0.0
155,Maspeth,0.127,0.161,0.06,0.0,0.09,0.0,0.165,0.0,0.397
156,Melrose,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
157,Middle Village,0.0,0.21,0.0,0.207,0.115,0.0,0.217,0.0,0.251
158,Midland Beach,0.0,0.638,0.0,0.0,0.362,0.0,0.0,0.0,0.0
159,Mill Basin,,,,,,,,,
160,Morningside Heights,0.099,0.127,0.0,0.124,0.074,0.0,0.262,0.0,0.314
161,Olinville,,,,,,,,,
162,Navy Yard,,,,,,,,,
163,Neponsit,,,,,,,,,
164,New Brighton,0.0,0.0,0.0,0.631,0.369,0.0,0.0,0.0,0.0
165,New Dorp,0.0,0.262,0.0,0.0,0.128,0.0,0.275,0.0,0.336
166,New Dorp Beach,,,,,,,,,
167,New Springville,0.0,0.38,0.0,0.0,0.183,0.0,0.0,0.0,0.437
168,NoHo,,,,,,,,,
169,Nolita,0.086,0.109,0.042,0.107,0.06,0.0,0.243,0.086,0.267
170,North Riverdale,,,,,,,,,
171,Park Slope,0.079,0.2,0.041,0.098,0.056,0.0,0.206,0.079,0.241
172,Port Morris,0.146,0.179,0.0,0.175,0.105,0.0,0.183,0.0,0.211
173,Port Richmond,0.0,0.62,0.0,0.0,0.38,0.0,0.0,0.0,0.0
174,Prince's Bay,,,,,,,,,
175,Prospect Heights,0.096,0.122,0.049,0.119,0.069,0.0,0.252,0.0,0.292
176,Randall Manor,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
177,Riverdale,0.0,0.2,0.0,0.0,0.112,0.0,0.206,0.0,0.482
178,Silver Lake,0.0,0.459,0.0,0.0,0.0,0.0,0.0,0.0,0.541
179,SoHo,,,,,,,,,
180,Woodrow,,,,,,,,,
181,Red Hook,0.0,0.142,0.0,0.139,0.085,0.0,0.295,0.0,0.339
182,Rego Park,0.102,0.259,0.0,0.127,0.076,0.0,0.132,0.0,0.304
183,Richmond Hill,0.046,0.135,0.0,0.132,0.076,0.0,0.281,0.0,0.331
184,Richmondtown,,,,,,,,,
185,Ridgewood,0.171,0.198,0.038,0.097,0.056,0.0,0.204,0.0,0.236
186,Sea Gate,,,,,,,,,
187,Rockaway Beach,,,,,,,,,
188,Roosevelt Island,0.0,0.256,0.0,0.0,0.148,0.0,0.0,0.0,0.596
189,Rosebank,0.0,0.642,0.0,0.0,0.358,0.0,0.0,0.0,0.0
190,Rosedale,,,,,,,,,
191,Rossville,,,,,,,,,
192,Schuylerville,,,,,,,,,
193,Sheepshead Bay,0.115,0.146,0.0,0.0,0.083,0.0,0.302,0.0,0.354
194,South Beach,0.0,0.609,0.0,0.0,0.391,0.0,0.0,0.0,0.0
195,South Ozone Park,0.0,0.211,0.0,0.207,0.113,0.0,0.217,0.0,0.252
196,South Slope,,,,,,,,,
197,Springfield Gardens,,,,,,,,,
198,Spuyten Duyvil,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
199,St. Albans,,,,,,,,,
200,Tompkinsville,0.163,0.213,0.0,0.0,0.119,0.0,0.0,0.0,0.505
201,St. George,0.0,0.201,0.0,0.0,0.111,0.0,0.206,0.0,0.482
202,Stapleton,0.142,0.182,0.0,0.0,0.1,0.0,0.0,0.142,0.433
203,Stuyvesant Town,,,,,,,,,
204,Sunnyside,0.082,0.208,0.0,0.102,0.06,0.0,0.215,0.082,0.251
205,Van Nest,0.578,0.0,0.0,0.0,0.422,0.0,0.0,0.0,0.0
206,Sunset Park,0.089,0.222,0.043,0.109,0.062,0.0,0.115,0.0,0.361
207,Theater District,,,,,,,,,
208,Throgs Neck,0.0,0.263,0.0,0.0,0.152,0.0,0.269,0.0,0.316
209,Todt Hill,,,,,,,,,
210,Tottenville,0.0,0.274,0.0,0.0,0.128,0.0,0.279,0.0,0.32
211,Tremont,0.0,0.211,0.0,0.0,0.113,0.0,0.434,0.0,0.242
212,Tribeca,0.121,0.15,0.0,0.148,0.088,0.0,0.308,0.0,0.185
213,Two Bridges,,,,,,,,,
214,Vinegar Hill,0.0,0.0,0.0,0.0,0.423,0.0,0.0,0.577,0.0
215,Woodside,0.0,0.123,0.048,0.12,0.069,0.0,0.25,0.098,0.291
216,Unionport,,,,,,,,,
217,University Heights,0.0,0.357,0.0,0.0,0.207,0.0,0.0,0.0,0.436
218,Upper East Side,0.074,0.241,0.038,0.093,0.053,0.0,0.198,0.074,0.229
219,Upper West Side,0.065,0.241,0.032,0.111,0.046,0.035,0.209,0.064,0.197
220,Windsor Terrace,0.088,0.227,0.0,0.111,0.063,0.0,0.234,0.0,0.276
221,Wakefield,0.0,0.263,0.0,0.0,0.145,0.0,0.273,0.0,0.319
222,Washington Heights,0.076,0.192,0.0,0.129,0.052,0.0,0.244,0.075,0.232
223,West Brighton,0.0,0.2,0.0,0.0,0.112,0.0,0.203,0.0,0.485
224,West Farms,,,,,,,,,
225,Woodhaven,0.0,0.337,0.0,0.165,0.093,0.0,0.0,0.0,0.406
226,Woodlawn,0.0,0.351,0.0,0.0,0.229,0.0,0.0,0.0,0.42
227,West Village,0.082,0.106,0.042,0.142,0.058,0.0,0.235,0.082,0.253
228,Westchester Square,,,,,,,,,
229,Westerleigh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
230,Williamsbridge,0.0,0.341,0.0,0.0,0.086,0.0,0.174,0.0,0.4
231,Williamsburg,0.093,0.283,0.033,0.079,0.045,0.0,0.208,0.064,0.194
232,Willowbrook,,,,,,,,,
